country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","25-06-2025 22:00:00",19.1750,72.9419,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","25-06-2025 22:00:00",19.137500,72.915056,CO,17,20,20
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","25-06-2025 22:00:00",19.000084,72.856730,PM10,26,59,44
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","25-06-2025 22:00:00",19.000084,72.856730,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","25-06-2025 22:00:00",19.000084,72.856730,CO,4,12,9
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","25-06-2025 22:00:00",19.000084,72.856730,OZONE,6,14,11
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","25-06-2025 22:00:00",19.060498,72.923356,PM10,37,105,65
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","25-06-2025 22:00:00",19.060498,72.923356,CO,1,42,16
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","25-06-2025 22:00:00",19.060498,72.923356,OZONE,10,10,10
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","25-06-2025 22:00:00",19.047000,72.874600,NH3,3,3,3
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","25-06-2025 22:00:00",19.047000,72.874600,SO2,9,9,9
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","25-06-2025 22:00:00",19.383200,72.820400,PM10,67,103,85
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","25-06-2025 22:00:00",19.10861,72.83622,PM10,28,67,40
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","25-06-2025 22:00:00",18.9936162,72.8128113,NO2,38,60,50
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","25-06-2025 22:00:00",18.9936162,72.8128113,SO2,22,26,25
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","25-06-2025 22:00:00",19.065931,72.862131,CO,1,51,7
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","25-06-2025 22:00:00",19.23241,72.86895,NH3,5,5,5
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","25-06-2025 22:00:00",19.23241,72.86895,CO,2,51,37
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","25-06-2025 22:00:00",19.2243333,72.8658113,PM2.5,24,29,26
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","25-06-2025 22:00:00",19.2243333,72.8658113,NH3,1,1,1
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","25-06-2025 22:00:00",19.11074,72.86084,NH3,5,6,6
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","25-06-2025 22:00:00",19.0863,72.8888,OZONE,28,29,28
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","25-06-2025 22:00:00",19.19709,72.82204,CO,16,54,35
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","25-06-2025 22:00:00",18.96702,72.84214,PM10,33,59,44
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","25-06-2025 22:00:00",19.1878657,72.8304069,CO,1,10,9
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","25-06-2025 22:00:00",19.854616,75.905894,CO,6,25,17
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","25-06-2025 22:00:00",19.192056,72.9585188,PM10,48,94,71
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","25-06-2025 22:00:00",16.6870449,74.2505872,PM2.5,8,42,18
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","25-06-2025 22:00:00",19.962900,79.298714,SO2,NA,NA,NA
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","25-06-2025 22:00:00",19.962900,79.298714,OZONE,9,26,10
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","25-06-2025 22:00:00",19.9775302,79.2337086,NH3,1,3,2
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","25-06-2025 22:00:00",19.296481,72.840923,NH3,1,2,1
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","25-06-2025 22:00:00",19.053536,72.84643,NH3,2,16,4
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","25-06-2025 22:00:00",19.02579,73.10297,NH3,2,3,2
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","25-06-2025 22:00:00",19.0630,73.1209,NH3,4,8,5
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","25-06-2025 22:00:00",19.0630,73.1209,OZONE,1,4,2
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.63673,73.82487,PM2.5,34,48,41
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.63673,73.82487,PM10,37,75,55
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.63673,73.82487,OZONE,9,23,18
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.59051,73.77946,PM10,52,82,64
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.59051,73.77946,NO2,6,22,11
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","25-06-2025 22:00:00",18.59051,73.77946,OZONE,9,28,21
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","25-06-2025 22:00:00",23.7176342,92.7192841,CO,3,3,3
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","25-06-2025 22:00:00",25.6635413,94.0989878,NO2,3,4,3
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","25-06-2025 22:00:00",20.832874,85.104082,PM2.5,12,80,38
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","25-06-2025 22:00:00",20.832874,85.104082,NO2,2,22,10
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","25-06-2025 22:00:00",20.832874,85.104082,CO,14,105,64
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","25-06-2025 22:00:00",20.832874,85.104082,OZONE,3,32,18
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","25-06-2025 22:00:00",21.51161,86.89088,SO2,4,6,5
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","25-06-2025 22:00:00",22.1166054,85.3945546,NH3,2,2,2
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","25-06-2025 22:00:00",18.573040,73.927715,CO,8,68,52
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","25-06-2025 22:00:00",18.573040,73.927715,OZONE,14,228,49
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","25-06-2025 22:00:00",18.536457,73.805454,PM10,42,60,52
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","25-06-2025 22:00:00",18.536457,73.805454,OZONE,10,40,32
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","25-06-2025 22:00:00",18.530085,73.849598,PM10,56,97,80
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","25-06-2025 22:00:00",18.547056,73.826908,NO2,1,19,11
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","25-06-2025 22:00:00",18.547056,73.826908,NH3,1,3,2
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","25-06-2025 22:00:00",18.547056,73.826908,OZONE,7,16,13
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","25-06-2025 22:00:00",18.614767,73.799516,NO2,4,20,11
